manager,team name,position,team_pos,player,points,last update time
Will,Kaep Sue League,BN1,Kaep Sue League_BN1,Cooper Kupp,12.50,2017-12-26 00:53:55.999137
Will,Kaep Sue League,BN2,Kaep Sue League_BN2,Dak Prescott,7.38,2017-12-26 00:53:55.999142
Will,Kaep Sue League,BN3,Kaep Sue League_BN3,Danny Woodhead,4.10,2017-12-26 00:53:55.999147
Will,Kaep Sue League,BN4,Kaep Sue League_BN4,Tarik Cohen,2.10,2017-12-26 00:53:55.999151
Will,Kaep Sue League,BN5,Kaep Sue League_BN5,Jimmy Garoppolo,22.98,2017-12-26 00:53:55.999156
Will,Kaep Sue League,BN6,Kaep Sue League_BN6,Peyton Barber,5.50,2017-12-26 00:53:55.999161
Will,Kaep Sue League,K,Kaep Sue League_K,Robbie Gould,8.00,2017-12-26 00:53:55.999166
Will,Kaep Sue League,DEF,Kaep Sue League_DEF,Jacksonville,2.00,2017-12-26 00:53:55.999171
Sean,Sean's Swell Team,QB,Sean's Swell Team_QB,Kirk Cousins,23.76,2017-12-26 00:53:55.999176
Sean,Sean's Swell Team,WR1,Sean's Swell Team_WR1,Marvin Jones Jr.,5.00,2017-12-26 00:53:55.999181
Sean,Sean's Swell Team,WR2,Sean's Swell Team_WR2,Mike Evans,10.70,2017-12-26 00:53:55.999186
Sean,Sean's Swell Team,WR3,Sean's Swell Team_WR3,Nelson Agholor,3.50,2017-12-26 00:53:55.999191
Sean,Sean's Swell Team,RB1,Sean's Swell Team_RB1,Doug Martin,0.70,2017-12-26 00:53:55.999196
Sean,Sean's Swell Team,RB2,Sean's Swell Team_RB2,Leonard Fournette,13.00,2017-12-26 00:53:55.999201
Sean,Sean's Swell Team,TE,Sean's Swell Team_TE,Evan Engram,1.20,2017-12-26 00:53:55.999206
Sean,Sean's Swell Team,W/R/T,Sean's Swell Team_W/R/T,Jerick McKinnon,5.10,2017-12-26 00:53:55.999211
Sean,Sean's Swell Team,BN1,Sean's Swell Team_BN1,JuJu Smith-Schuster,13.50,2017-12-26 00:53:55.999216
Sean,Sean's Swell Team,BN2,Sean's Swell Team_BN2,Aaron Jones,1.30,2017-12-26 00:53:55.999221
Sean,Sean's Swell Team,BN3,Sean's Swell Team_BN3,Martavis Bryant,6.80,2017-12-26 00:53:55.999227
Sean,Sean's Swell Team,BN4,Sean's Swell Team_BN4,Deonte Thompson,9.10,2017-12-26 00:53:55.999232
Sean,Sean's Swell Team,BN5,Sean's Swell Team_BN5,Jacquizz Rodgers,0.20,2017-12-26 00:53:55.999237
Sean,Sean's Swell Team,BN6,Sean's Swell Team_BN6,Zay Jones,0.00,2017-12-26 00:53:55.999242
Sean,Sean's Swell Team,K,Sean's Swell Team_K,Brandon McManus,3.00,2017-12-26 00:53:55.999247
Sean,Sean's Swell Team,DEF,Sean's Swell Team_DEF,Houston,-2.00,2017-12-26 00:53:55.999251
Siyang,Smittywerbenjagerman,QB,Smittywerbenjagerman_QB,Matthew Stafford,11.82,2017-12-26 00:53:55.999256
Siyang,Smittywerbenjagerman,WR1,Smittywerbenjagerman_WR1,Alshon Jeffery,0.00,2017-12-26 00:53:55.999262
Siyang,Smittywerbenjagerman,WR2,Smittywerbenjagerman_WR2,Josh Gordon,1.90,2017-12-26 00:53:55.999267
Siyang,Smittywerbenjagerman,WR3,Smittywerbenjagerman_WR3,Paul Richardson,2.10,2017-12-26 00:53:55.999273
Siyang,Smittywerbenjagerman,RB1,Smittywerbenjagerman_RB1,Todd Gurley II,39.60,2017-12-26 00:53:55.999278
Siyang,Smittywerbenjagerman,RB2,Smittywerbenjagerman_RB2,Melvin Gordon,18.80,2017-12-26 00:53:55.999283
Siyang,Smittywerbenjagerman,TE,Smittywerbenjagerman_TE,Eric Ebron,14.30,2017-12-26 00:53:55.999288
Siyang,Smittywerbenjagerman,W/R/T,Smittywerbenjagerman_W/R/T,Kareem Hunt,16.60,2017-12-26 00:53:55.999293
Siyang,Smittywerbenjagerman,BN1,Smittywerbenjagerman_BN1,Jermaine Kearse,4.20,2017-12-26 00:53:55.999299
Siyang,Smittywerbenjagerman,BN2,Smittywerbenjagerman_BN2,Tyler Kroft,0.30,2017-12-26 00:53:55.999304
Siyang,Smittywerbenjagerman,BN3,Smittywerbenjagerman_BN3,Kenyan Drake,5.70,2017-12-26 00:53:55.999309
Siyang,Smittywerbenjagerman,BN4,Smittywerbenjagerman_BN4,Marcus Mariota,12.40,2017-12-26 00:53:55.999314
Siyang,Smittywerbenjagerman,K,Smittywerbenjagerman_K,Matt Prater,5.00,2017-12-26 00:53:55.999319
Siyang,Smittywerbenjagerman,DEF,Smittywerbenjagerman_DEF,Los Angeles,13.00,2017-12-26 00:53:55.999324
Siyang,Smittywerbenjagerman,BN5,Smittywerbenjagerman_BN5,Atlanta,3.00,2017-12-26 00:53:55.999329
Siyang,Smittywerbenjagerman,BN6,Smittywerbenjagerman_BN6,Carolina,19.00,2017-12-26 00:53:55.999334
Kate,Derpiest Draft,QB,Derpiest Draft_QB,Russell Wilson,14.62,2017-12-26 00:53:55.999339
Kate,Derpiest Draft,WR1,Derpiest Draft_WR1,Davante Adams,0.00,2017-12-26 00:53:55.999345
Kate,Derpiest Draft,WR2,Derpiest Draft_WR2,Robby Anderson,5.10,2017-12-26 00:53:55.999349
Kate,Derpiest Draft,WR3,Derpiest Draft_WR3,Mike Wallace,6.00,2017-12-26 00:53:55.999354
Kate,Derpiest Draft,RB1,Derpiest Draft_RB1,Tevin Coleman,11.20,2017-12-26 00:53:55.999359
Kate,Derpiest Draft,RB2,Derpiest Draft_RB2,Theo Riddick,3.90,2017-12-26 00:53:55.999384
Kate,Derpiest Draft,TE,Derpiest Draft_TE,Delanie Walker,3.30,2017-12-26 00:53:55.999391
Kate,Derpiest Draft,W/R/T,Derpiest Draft_W/R/T,Marquise Goodwin,3.70,2017-12-26 00:53:55.999396
Kate,Derpiest Draft,BN1,Derpiest Draft_BN1,Jeremy Maclin,0.00,2017-12-26 00:53:55.999401
Kate,Derpiest Draft,BN2,Derpiest Draft_BN2,Ty Montgomery,0.00,2017-12-26 00:53:55.999405
Kate,Derpiest Draft,BN3,Derpiest Draft_BN3,Terrance Williams,4.30,2017-12-26 00:53:55.999410
Kate,Derpiest Draft,BN4,Derpiest Draft_BN4,Giovani Bernard,22.80,2017-12-26 00:53:55.999415
Kate,Derpiest Draft,BN5,Derpiest Draft_BN5,Taylor Gabriel,3.20,2017-12-26 00:53:55.999420
Kate,Derpiest Draft,IR,Derpiest Draft_IR,Odell Beckham Jr.,0.00,2017-12-26 00:53:55.999424
Kate,Derpiest Draft,K,Derpiest Draft_K,Ryan Succop,11.00,2017-12-26 00:53:55.999429
Kate,Derpiest Draft,DEF,Derpiest Draft_DEF,Green Bay,4.00,2017-12-26 00:53:55.999434
Kate,Derpiest Draft,BN6,Derpiest Draft_BN6,Philadelphia,21.00,2017-12-26 00:53:55.999438
Claire,It's Britney Bitch,QB,It's Britney Bitch_QB,Blake Bortles,25.38,2017-12-26 00:53:55.999443
Claire,It's Britney Bitch,WR1,It's Britney Bitch_WR1,Keenan Allen,6.30,2017-12-26 00:53:55.999448
Claire,It's Britney Bitch,WR2,It's Britney Bitch_WR2,Sterling Shepard,4.50,2017-12-26 00:53:55.999453
Claire,It's Britney Bitch,WR3,It's Britney Bitch_WR3,Randall Cobb,1.60,2017-12-26 00:53:55.999459
Claire,It's Britney Bitch,RB1,It's Britney Bitch_RB1,Alvin Kamara,9.00,2017-12-26 00:53:55.999463
Claire,It's Britney Bitch,RB2,It's Britney Bitch_RB2,Latavius Murray,7.50,2017-12-26 00:53:55.999469
Claire,It's Britney Bitch,TE,It's Britney Bitch_TE,Benjamin Watson,4.00,2017-12-26 00:53:55.999474
Claire,It's Britney Bitch,W/R/T,It's Britney Bitch_W/R/T,Marshawn Lynch,7.20,2017-12-26 00:53:55.999479
Claire,It's Britney Bitch,BN1,It's Britney Bitch_BN1,Tyler Lockett,0.90,2017-12-26 00:53:55.999484
Claire,It's Britney Bitch,BN2,It's Britney Bitch_BN2,Matt Ryan,15.22,2017-12-26 00:53:55.999489
Claire,It's Britney Bitch,BN3,It's Britney Bitch_BN3,Adam Humphries,5.10,2017-12-26 00:53:55.999494
Claire,It's Britney Bitch,BN4,It's Britney Bitch_BN4,LeGarrette Blount,1.50,2017-12-26 00:53:55.999499
Claire,It's Britney Bitch,BN5,It's Britney Bitch_BN5,Amari Cooper,12.60,2017-12-26 00:53:55.999504
Claire,It's Britney Bitch,IR,It's Britney Bitch_IR,Chris Conley,0.00,2017-12-26 00:53:55.999509
Claire,It's Britney Bitch,K,It's Britney Bitch_K,Josh Lambo,6.00,2017-12-26 00:53:55.999514
Claire,It's Britney Bitch,DEF,It's Britney Bitch_DEF,Arizona,24.00,2017-12-26 00:53:55.999518
Claire,It's Britney Bitch,BN6,It's Britney Bitch_BN6,Chicago,14.00,2017-12-26 00:53:55.999523
Mike Y,Dixon Butts,QB,Dixon Butts_QB,Ben Roethlisberger,16.94,2017-12-26 00:53:55.999528
Mike Y,Dixon Butts,WR1,Dixon Butts_WR1,DeAndre Hopkins,12.50,2017-12-26 00:53:55.999533
Mike Y,Dixon Butts,WR2,Dixon Butts_WR2,Larry Fitzgerald,18.74,2017-12-26 00:53:55.999538
Mike Y,Dixon Butts,WR3,Dixon Butts_WR3,Corey Coleman,0.30,2017-12-26 00:53:55.999542
Mike Y,Dixon Butts,RB1,Dixon Butts_RB1,Alfred Morris,0.00,2017-12-26 00:53:55.999547
Mike Y,Dixon Butts,RB2,Dixon Butts_RB2,Jamaal Williams,5.80,2017-12-26 00:53:55.999552
Mike Y,Dixon Butts,TE,Dixon Butts_TE,Jimmy Graham,6.30,2017-12-26 00:53:55.999556
Mike Y,Dixon Butts,W/R/T,Dixon Butts_W/R/T,Rod Smith,3.30,2017-12-26 00:53:55.999561
Mike Y,Dixon Butts,BN1,Dixon Butts_BN1,Ricky Seals-Jones,0.00,2017-12-26 00:53:55.999566
Mike Y,Dixon Butts,BN2,Dixon Butts_BN2,Jared Goff,25.44,2017-12-26 00:53:55.999570
Mike Y,Dixon Butts,BN3,Dixon Butts_BN3,Marlon Mack,5.40,2017-12-26 00:53:55.999575
Mike Y,Dixon Butts,BN4,Dixon Butts_BN4,Ezekiel Elliott,11.80,2017-12-26 00:53:55.999579
Mike Y,Dixon Butts,BN5,Dixon Butts_BN5,Chris Ivory,0.00,2017-12-26 00:53:55.999584
Mike Y,Dixon Butts,K,Dixon Butts_K,Jake Elliott,8.00,2017-12-26 00:53:55.999588
Mike Y,Dixon Butts,DEF,Dixon Butts_DEF,Baltimore,5.00,2017-12-26 00:53:55.999593
Mike Y,Dixon Butts,BN6,Dixon Butts_BN6,Kansas City,8.00,2017-12-26 00:53:55.999598
Ben,Humongous Melonheads,QB,Humongous Melonheads_QB,Derek Carr,7.90,2017-12-26 00:53:55.999602
Ben,Humongous Melonheads,WR1,Humongous Melonheads_WR1,Brandin Cooks,2.50,2017-12-26 00:53:55.999607
Ben,Humongous Melonheads,WR2,Humongous Melonheads_WR2,Mohamed Sanu,3.10,2017-12-26 00:53:55.999612
Ben,Humongous Melonheads,WR3,Humongous Melonheads_WR3,Sammy Watkins,9.00,2017-12-26 00:53:55.999617
Ben,Humongous Melonheads,RB1,Humongous Melonheads_RB1,Isaiah Crowell,4.30,2017-12-26 00:53:55.999622
Ben,Humongous Melonheads,RB2,Humongous Melonheads_RB2,Samaje Perine,5.40,2017-12-26 00:53:55.999627
Ben,Humongous Melonheads,TE,Humongous Melonheads_TE,Vernon Davis,10.20,2017-12-26 00:53:55.999632
Ben,Humongous Melonheads,W/R/T,Humongous Melonheads_W/R/T,Jordy Nelson,1.10,2017-12-26 00:53:55.999637
Ben,Humongous Melonheads,BN1,Humongous Melonheads_BN1,T.J. Yeldon,13.70,2017-12-26 00:53:55.999642
Ben,Humongous Melonheads,BN2,Humongous Melonheads_BN2,Josh Doctson,12.10,2017-12-26 00:53:55.999648
Ben,Humongous Melonheads,BN3,Humongous Melonheads_BN3,Austin Ekeler,0.00,2017-12-26 00:53:55.999681
Ben,Humongous Melonheads,BN4,Humongous Melonheads_BN4,Damien Williams,0.00,2017-12-26 00:53:55.999692
Ben,Humongous Melonheads,BN5,Humongous Melonheads_BN5,Dede Westbrook,7.40,2017-12-26 00:53:55.999697
Ben,Humongous Melonheads,BN6,Humongous Melonheads_BN6,Jesse James,0.00,2017-12-26 00:53:55.999702
Ben,Humongous Melonheads,IR,Humongous Melonheads_IR,David Johnson,0.00,2017-12-26 00:53:55.999709
Ben,Humongous Melonheads,K,Humongous Melonheads_K,Wil Lutz,13.00,2017-12-26 00:53:55.999714
Ben,Humongous Melonheads,DEF,Humongous Melonheads_DEF,Detroit,5.00,2017-12-26 00:53:55.999719
Amelia,So I have this rash,QB,So I have this rash_QB,Aaron Rodgers,0.00,2017-12-26 00:53:55.999724
Amelia,So I have this rash,WR1,So I have this rash_WR1,Golden Tate,1.40,2017-12-26 00:53:55.999729
Amelia,So I have this rash,WR2,So I have this rash_WR2,Cole Beasley,1.20,2017-12-26 00:53:55.999734
Amelia,So I have this rash,WR3,So I have this rash_WR3,Jamison Crowder,10.70,2017-12-26 00:53:55.999740
Amelia,So I have this rash,RB1,So I have this rash_RB1,Jamaal Charles,0.00,2017-12-26 00:53:55.999745
Amelia,So I have this rash,RB2,So I have this rash_RB2,Carlos Hyde,13.30,2017-12-26 00:53:55.999750
Amelia,So I have this rash,TE,So I have this rash_TE,Zach Ertz,8.10,2017-12-26 00:53:55.999755
Amelia,So I have this rash,W/R/T,So I have this rash_W/R/T,O.J. Howard,0.00,2017-12-26 00:53:55.999760
Amelia,So I have this rash,BN1,So I have this rash_BN1,John Brown,8.80,2017-12-26 00:53:55.999765
Amelia,So I have this rash,BN2,So I have this rash_BN2,Mike Gillislee,10.30,2017-12-26 00:53:55.999770
Amelia,So I have this rash,BN3,So I have this rash_BN3,Joe Flacco,17.28,2017-12-26 00:53:55.999775
Amelia,So I have this rash,BN4,So I have this rash_BN4,Frank Gore,14.60,2017-12-26 00:53:55.999781
Amelia,So I have this rash,BN5,So I have this rash_BN5,Matt Forte,0.60,2017-12-26 00:53:55.999786
Amelia,So I have this rash,K,So I have this rash_K,Phil Dawson,5.00,2017-12-26 00:53:55.999791
Amelia,So I have this rash,BN6,So I have this rash_BN6,Adam Vinatieri,11.00,2017-12-26 00:53:55.999795
Amelia,So I have this rash,DEF,So I have this rash_DEF,Pittsburgh,18.00,2017-12-26 00:53:55.999800
Sierra,Slurpy,QB,Slurpy_QB,Philip Rivers,15.60,2017-12-26 00:53:55.999805
Sierra,Slurpy,WR1,Slurpy_WR1,Stefon Diggs,12.30,2017-12-26 00:53:55.999810
Sierra,Slurpy,WR2,Slurpy_WR2,J.J. Nelson,0.00,2017-12-26 00:53:55.999815
Sierra,Slurpy,WR3,Slurpy_WR3,Tyreek Hill,10.80,2017-12-26 00:53:55.999819
Sierra,Slurpy,RB1,Slurpy_RB1,Jordan Howard,16.40,2017-12-26 00:53:55.999824
Sierra,Slurpy,RB2,Slurpy_RB2,DeMarco Murray,11.90,2017-12-26 00:53:55.999828
Sierra,Slurpy,TE,Slurpy_TE,Austin Hooper,1.80,2017-12-26 00:53:55.999833
Sierra,Slurpy,W/R/T,Slurpy_W/R/T,Hunter Henry,0.00,2017-12-26 00:53:55.999837
Sierra,Slurpy,BN1,Slurpy_BN1,Joe Mixon,3.20,2017-12-26 00:53:55.999842
Sierra,Slurpy,BN2,Slurpy_BN2,Kenny Stills,3.40,2017-12-26 00:53:55.999846
Sierra,Slurpy,BN3,Slurpy_BN3,Pierre Garcon,0.00,2017-12-26 00:53:55.999904
Sierra,Slurpy,BN4,Slurpy_BN4,Charles Sims,1.90,2017-12-26 00:53:55.999915
Sierra,Slurpy,BN5,Slurpy_BN5,Charles Clay,3.70,2017-12-26 00:53:55.999924
Sierra,Slurpy,BN6,Slurpy_BN6,Josh McCown,0.00,2017-12-26 00:53:55.999932
Sierra,Slurpy,K,Slurpy_K,Matt Bryant,8.00,2017-12-26 00:53:55.999937
Sierra,Slurpy,DEF,Slurpy_DEF,Minnesota,15.00,2017-12-26 00:53:55.999942
Griffin,Griffin's Team,QB,Griffin's Team_QB,Tom Brady,16.56,2017-12-26 00:53:55.999947
Griffin,Griffin's Team,WR1,Griffin's Team_WR1,Will Fuller V,1.00,2017-12-26 00:53:55.999952
Griffin,Griffin's Team,WR2,Griffin's Team_WR2,Michael Thomas,6.60,2017-12-26 00:53:55.999957
Griffin,Griffin's Team,WR3,Griffin's Team_WR3,A.J. Green,8.10,2017-12-26 00:53:55.999966
Griffin,Griffin's Team,RB1,Griffin's Team_RB1,Derrick Henry,3.10,2017-12-26 00:53:55.999971
Griffin,Griffin's Team,RB2,Griffin's Team_RB2,Elijah McGuire,-2.00,2017-12-26 00:53:55.999976
Griffin,Griffin's Team,TE,Griffin's Team_TE,Austin Seferian-Jenkins,2.10,2017-12-26 00:53:55.999981
Griffin,Griffin's Team,W/R/T,Griffin's Team_W/R/T,Donte Moncrief,0.00,2017-12-26 00:53:55.999986
Griffin,Griffin's Team,BN1,Griffin's Team_BN1,Jalen Richard,1.60,2017-12-26 00:53:55.999991
Griffin,Griffin's Team,BN2,Griffin's Team_BN2,Tyrod Taylor,12.84,2017-12-26 00:53:55.999996
Griffin,Griffin's Team,BN3,Griffin's Team_BN3,Cameron Brate,1.30,2017-12-26 00:53:56
Griffin,Griffin's Team,BN4,Griffin's Team_BN4,Torrey Smith,0.50,2017-12-26 00:53:56.000005
Griffin,Griffin's Team,K,Griffin's Team_K,Stephen Gostkowski,14.00,2017-12-26 00:53:56.000010
Griffin,Griffin's Team,BN5,Griffin's Team_BN5,Chandler Catanzaro,1.00,2017-12-26 00:53:56.000028
Griffin,Griffin's Team,DEF,Griffin's Team_DEF,Los Angeles,4.00,2017-12-26 00:53:56.000034
Griffin,Griffin's Team,BN6,Griffin's Team_BN6,Denver,4.00,2017-12-26 00:53:56.000050
Bennett,butt stuff,QB,butt stuff_QB,Cam Newton,16.60,2017-12-26 00:53:56.000067
Bennett,butt stuff,WR1,butt stuff_WR1,Ted Ginn Jr.,15.00,2017-12-26 00:53:56.000072
Bennett,butt stuff,WR2,butt stuff_WR2,DeVante Parker,6.30,2017-12-26 00:53:56.000077
Bennett,butt stuff,WR3,butt stuff_WR3,Eric Decker,7.30,2017-12-26 00:53:56.000082
Bennett,butt stuff,RB1,butt stuff_RB1,Le'Veon Bell,15.70,2017-12-26 00:53:56.000086
Bennett,butt stuff,RB2,butt stuff_RB2,Christian McCaffrey,5.80,2017-12-26 00:53:56.000091
Bennett,butt stuff,TE,butt stuff_TE,David Njoku,1.30,2017-12-26 00:53:56.000096
Bennett,butt stuff,W/R/T,butt stuff_W/R/T,James White,0.00,2017-12-26 00:53:56.000101
Bennett,butt stuff,BN1,butt stuff_BN1,Rob Gronkowski,12.70,2017-12-26 00:53:56.000106
Bennett,butt stuff,BN2,butt stuff_BN2,Kelvin Benjamin,7.00,2017-12-26 00:53:56.000110
Bennett,butt stuff,BN3,butt stuff_BN3,Robert Woods,3.30,2017-12-26 00:53:56.000115
Bennett,butt stuff,BN4,butt stuff_BN4,Eli Manning,7.02,2017-12-26 00:53:56.000127
Bennett,butt stuff,BN5,butt stuff_BN5,Andre Ellington,0.00,2017-12-26 00:53:56.000136
Bennett,butt stuff,BN6,butt stuff_BN6,Zach Miller,0.00,2017-12-26 00:53:56.000154
Bennett,butt stuff,K,butt stuff_K,Greg Zuerlein,0.00,2017-12-26 00:53:56.000171
Bennett,butt stuff,DEF,butt stuff_DEF,New England,10.00,2017-12-26 00:53:56.000178
Eliot,My w'a is the Dont'a,QB,My w'a is the Dont'a_QB,Drew Brees,12.16,2017-12-26 00:53:56.000183
Eliot,My w'a is the Dont'a,WR1,My w'a is the Dont'a_WR1,Julio Jones,14.90,2017-12-26 00:53:56.000188
Eliot,My w'a is the Dont'a,WR2,My w'a is the Dont'a_WR2,Devin Funchess,1.10,2017-12-26 00:53:56.000193
Eliot,My w'a is the Dont'a,WR3,My w'a is the Dont'a_WR3,Doug Baldwin,9.50,2017-12-26 00:53:56.000199
Eliot,My w'a is the Dont'a,RB1,My w'a is the Dont'a_RB1,Dion Lewis,27.30,2017-12-26 00:53:56.000204
Eliot,My w'a is the Dont'a,RB2,My w'a is the Dont'a_RB2,Jonathan Stewart,1.80,2017-12-26 00:53:56.000209
Eliot,My w'a is the Dont'a,TE,My w'a is the Dont'a_TE,Travis Kelce,10.70,2017-12-26 00:53:56.000214
Eliot,My w'a is the Dont'a,W/R/T,My w'a is the Dont'a_W/R/T,Rishard Matthews,4.80,2017-12-26 00:53:56.000233
Eliot,My w'a is the Dont'a,BN1,My w'a is the Dont'a_BN1,Rex Burkhead,0.00,2017-12-26 00:53:56.000251
Eliot,My w'a is the Dont'a,BN2,My w'a is the Dont'a_BN2,Ameer Abdullah,2.60,2017-12-26 00:53:56.000270
Eliot,My w'a is the Dont'a,BN3,My w'a is the Dont'a_BN3,J.D. McKissic,0.00,2017-12-26 00:53:56.000278
Eliot,My w'a is the Dont'a,BN4,My w'a is the Dont'a_BN4,Danny Amendola,2.80,2017-12-26 00:53:56.000286
Eliot,My w'a is the Dont'a,K,My w'a is the Dont'a_K,Chris Boswell,10.00,2017-12-26 00:53:56.000291
Eliot,My w'a is the Dont'a,BN5,My w'a is the Dont'a_BN5,Harrison Butker,18.00,2017-12-26 00:53:56.000295
Eliot,My w'a is the Dont'a,DEF,My w'a is the Dont'a_DEF,New Orleans,13.00,2017-12-26 00:53:56.000301
Eliot,My w'a is the Dont'a,BN6,My w'a is the Dont'a_BN6,Seattle,20.00,2017-12-26 00:53:56.000306
