manager,team name,position,team_pos,player,points,last update time
Danny,Mighty Wombats,QB,Mighty Wombats_QB,Nick Foles,9.52,2017-12-26 00:53:55.998923
Danny,Mighty Wombats,WR1,Mighty Wombats_WR1,Michael Crabtree,0.00,2017-12-26 00:53:55.998940
Danny,Mighty Wombats,WR2,Mighty Wombats_WR2,T.Y. Hilton,10.00,2017-12-26 00:53:55.998946
Danny,Mighty Wombats,WR3,Mighty Wombats_WR3,Kendall Wright,2.70,2017-12-26 00:53:55.998952
Danny,Mighty Wombats,RB1,Mighty Wombats_RB1,Mike Davis,4.30,2017-12-26 00:53:55.998957
Danny,Mighty Wombats,RB2,Mighty Wombats_RB2,Jay Ajayi,11.30,2017-12-26 00:53:55.998962
Danny,Mighty Wombats,TE,Mighty Wombats_TE,Greg Olsen,2.70,2017-12-26 00:53:55.998966
Danny,Mighty Wombats,W/R/T,Mighty Wombats_W/R/T,C.J. Anderson,21.30,2017-12-26 00:53:55.998971
Danny,Mighty Wombats,BN1,Mighty Wombats_BN1,DeSean Jackson,0.00,2017-12-26 00:53:55.998977
Danny,Mighty Wombats,BN2,Mighty Wombats_BN2,Antonio Brown,0.00,2017-12-26 00:53:55.998982
Danny,Mighty Wombats,BN3,Mighty Wombats_BN3,Orleans Darkwa,1.00,2017-12-26 00:53:55.998986
Danny,Mighty Wombats,BN4,Mighty Wombats_BN4,Kerwynn Williams,6.50,2017-12-26 00:53:55.998991
Danny,Mighty Wombats,BN5,Mighty Wombats_BN5,Duke Johnson Jr.,10.10,2017-12-26 00:53:55.998996
Danny,Mighty Wombats,K,Mighty Wombats_K,Justin Tucker,11.00,2017-12-26 00:53:55.999001
Danny,Mighty Wombats,DEF,Mighty Wombats_DEF,Washington,14.00,2017-12-26 00:53:55.999005
Danny,Mighty Wombats,BN6,Mighty Wombats_BN6,New York,1.00,2017-12-26 00:53:55.999010
Mike S,The Lyrical Miracle,QB,The Lyrical Miracle_QB,Case Keenum,9.36,2017-12-26 00:53:55.999015
Mike S,The Lyrical Miracle,WR1,The Lyrical Miracle_WR1,Brandon Coleman,0.00,2017-12-26 00:53:55.999021
Mike S,The Lyrical Miracle,WR2,The Lyrical Miracle_WR2,Adam Thielen,2.40,2017-12-26 00:53:55.999027
Mike S,The Lyrical Miracle,WR3,The Lyrical Miracle_WR3,Travis Benjamin,-0.40,2017-12-26 00:53:55.999032
Mike S,The Lyrical Miracle,RB1,The Lyrical Miracle_RB1,Lamar Miller,6.50,2017-12-26 00:53:55.999037
Mike S,The Lyrical Miracle,RB2,The Lyrical Miracle_RB2,Alex Collins,6.60,2017-12-26 00:53:55.999042
Mike S,The Lyrical Miracle,TE,The Lyrical Miracle_TE,Jared Cook,1.50,2017-12-26 00:53:55.999047
Mike S,The Lyrical Miracle,W/R/T,The Lyrical Miracle_W/R/T,Chris Hogan,0.00,2017-12-26 00:53:55.999052
Mike S,The Lyrical Miracle,BN1,The Lyrical Miracle_BN1,Jason Witten,3.90,2017-12-26 00:53:55.999058
Mike S,The Lyrical Miracle,BN2,The Lyrical Miracle_BN2,Adrian Peterson,0.00,2017-12-26 00:53:55.999063
Mike S,The Lyrical Miracle,BN3,The Lyrical Miracle_BN3,Jaron Brown,2.70,2017-12-26 00:53:55.999068
Mike S,The Lyrical Miracle,BN4,The Lyrical Miracle_BN4,Devonta Freeman,3.60,2017-12-26 00:53:55.999073
Mike S,The Lyrical Miracle,BN5,The Lyrical Miracle_BN5,Allen Hurns,0.00,2017-12-26 00:53:55.999078
Mike S,The Lyrical Miracle,BN6,The Lyrical Miracle_BN6,Jameis Winston,13.28,2017-12-26 00:53:55.999083
Mike S,The Lyrical Miracle,K,The Lyrical Miracle_K,Kai Forbath,11.00,2017-12-26 00:53:55.999088
Mike S,The Lyrical Miracle,DEF,The Lyrical Miracle_DEF,Cincinnati,5.00,2017-12-26 00:53:55.999093
Will,Kaep Sue League,QB,Kaep Sue League_QB,Alex Smith,17.46,2017-12-26 00:53:55.999098
Will,Kaep Sue League,WR1,Kaep Sue League_WR1,Jarvis Landry,3.10,2017-12-26 00:53:55.999103
Will,Kaep Sue League,WR2,Kaep Sue League_WR2,Dez Bryant,2.40,2017-12-26 00:53:55.999108
Will,Kaep Sue League,WR3,Kaep Sue League_WR3,Demaryius Thomas,5.20,2017-12-26 00:53:55.999113
Will,Kaep Sue League,RB1,Kaep Sue League_RB1,LeSean McCoy,14.70,2017-12-26 00:53:55.999118
Will,Kaep Sue League,RB2,Kaep Sue League_RB2,Mark Ingram,12.60,2017-12-26 00:53:55.999123
Will,Kaep Sue League,TE,Kaep Sue League_TE,Kyle Rudolph,0.60,2017-12-26 00:53:55.999128
Will,Kaep Sue League,W/R/T,Kaep Sue League_W/R/T,Keelan Cole,10.80,2017-12-26 00:53:55.999132
