manager,team name,position,team_pos,player,points,last update time
Danny,Mighty Wombats,QB,Mighty Wombats_QB,Marcus Mariota,5.46,2017-12-11 22:57:48.109445
Danny,Mighty Wombats,WR1,Mighty Wombats_WR1,Antonio Brown,21.30,2017-12-11 22:57:48.109485
Danny,Mighty Wombats,WR2,Mighty Wombats_WR2,Michael Crabtree,8.00,2017-12-11 22:57:48.109493
Danny,Mighty Wombats,WR3,Mighty Wombats_WR3,T.Y. Hilton,2.00,2017-12-11 22:57:48.109500
Danny,Mighty Wombats,RB1,Mighty Wombats_RB1,Mike Davis,6.50,2017-12-11 22:57:48.109507
Danny,Mighty Wombats,RB2,Mighty Wombats_RB2,Kerwynn Williams,8.80,2017-12-11 22:57:48.109513
Danny,Mighty Wombats,TE,Mighty Wombats_TE,Jack Doyle,6.40,2017-12-11 22:57:48.109519
Danny,Mighty Wombats,W/R/T,Mighty Wombats_W/R/T,Orleans Darkwa,4.40,2017-12-11 22:57:48.109526
Danny,Mighty Wombats,BN1,Mighty Wombats_BN1,Duke Johnson Jr.,10.90,2017-12-11 22:57:48.109533
Danny,Mighty Wombats,BN2,Mighty Wombats_BN2,DeSean Jackson,6.40,2017-12-11 22:57:48.109539
Danny,Mighty Wombats,BN3,Mighty Wombats_BN3,Jay Ajayi,8.00,2017-12-11 22:57:48.109545
Danny,Mighty Wombats,BN4,Mighty Wombats_BN4,C.J. Anderson,7.30,2017-12-11 22:57:48.109552
Danny,Mighty Wombats,BN5,Mighty Wombats_BN5,Greg Olsen,0.00,2017-12-11 22:57:48.109558
Danny,Mighty Wombats,K,Mighty Wombats_K,Justin Tucker,9.00,2017-12-11 22:57:48.109564
Danny,Mighty Wombats,DEF,Mighty Wombats_DEF,New York,2.00,2017-12-11 22:57:48.109570
Danny,Mighty Wombats,BN6,Mighty Wombats_BN6,Washington,8.00,2017-12-11 22:57:48.109575
Mike S,The Lyrical Miracle,QB,The Lyrical Miracle_QB,Case Keenum,21.20,2017-12-11 22:57:48.109582
Mike S,The Lyrical Miracle,WR1,The Lyrical Miracle_WR1,Brandon Coleman,3.20,2017-12-11 22:57:48.109589
Mike S,The Lyrical Miracle,WR2,The Lyrical Miracle_WR2,Adam Thielen,16.50,2017-12-11 22:57:48.109596
Mike S,The Lyrical Miracle,WR3,The Lyrical Miracle_WR3,Travis Benjamin,4.30,2017-12-11 22:57:48.109602
Mike S,The Lyrical Miracle,RB1,The Lyrical Miracle_RB1,Lamar Miller,6.00,2017-12-11 22:57:48.109609
Mike S,The Lyrical Miracle,RB2,The Lyrical Miracle_RB2,Alex Collins,22.60,2017-12-11 22:57:48.109616
Mike S,The Lyrical Miracle,TE,The Lyrical Miracle_TE,Jared Cook,13.50,2017-12-11 22:57:48.109622
Mike S,The Lyrical Miracle,W/R/T,The Lyrical Miracle_W/R/T,Chris Hogan,0.10,2017-12-11 22:57:48.109629
Mike S,The Lyrical Miracle,BN1,The Lyrical Miracle_BN1,Jason Witten,8.00,2017-12-11 22:57:48.109635
Mike S,The Lyrical Miracle,BN2,The Lyrical Miracle_BN2,Adrian Peterson,0.00,2017-12-11 22:57:48.109642
Mike S,The Lyrical Miracle,BN3,The Lyrical Miracle_BN3,Jaron Brown,1.50,2017-12-11 22:57:48.109648
Mike S,The Lyrical Miracle,BN4,The Lyrical Miracle_BN4,Devonta Freeman,15.10,2017-12-11 22:57:48.109655
